,CnBio_ID,Donation_Score,Volunteering_Score,Engagement_Score
151,201516876,0.0,0.0,0.0
152,201412201,0.0,0.0,0.0
153,201414904,0.0,0.0,0.0
154,201414771,0.0,0.0,0.0
155,202231747,1.7000000000000002,0.0,0.8500000000000001
156,202331957,0.0,0.4,0.2
157,201517629,0.0,0.0,0.0
158,7637,0.0,0.0,0.0
159,1756,0.0,0.0,0.0
160,201310638,0.0,0.0,0.0
161,1489,0.0,0.0,0.0
162,20,0.0,0.0,0.0
163,841,0.0,0.0,0.0
164,847,0.0,0.0,0.0
165,201618262,0.0,0.0,0.0
166,201923542,0.0,0.0,0.0
167,201823300,0.0,0.0,0.0
168,2581,0.0,0.0,0.0
169,202130155,3.2,0.0,1.6
170,3426,0.0,0.0,0.0
171,201412617,0.0,0.0,0.0
172,201516517,0.0,0.0,0.0
173,9026,0.0,0.0,0.0
174,201721654,0.0,0.0,0.0
175,1639,0.0,0.0,0.0
176,2190,0.0,0.0,0.0
177,201515675,0.0,0.0,0.0
178,201516745,0.0,0.0,0.0
179,201620290,0.0,0.0,0.0
180,201412310,0.0,0.0,0.0
181,4798,0.0,0.0,0.0
182,201517005,0.0,0.0,0.0
183,201412636,0.0,0.0,0.0
184,202231398,2.5,0.0,1.25
185,201620090,0.0,0.0,0.0
186,201412861,0.0,0.0,0.0
187,202129669,0.0,0.0,0.0
188,201618630,0.0,0.0,0.0
189,201924243,0.0,0.0,0.0
190,201413507,0.0,0.0,0.0
191,670,0.0,0.0,0.0
192,202129626,3.6,0.0,1.8
193,201619155,0.0,0.0,0.0
194,6858,0.0,0.0,0.0
195,201412241,0.0,0.0,0.0
196,201516977,0.0,0.0,0.0
197,201515667,0.0,0.0,0.0
198,201515689,0.0,0.0,0.0
199,202029475,2.9,0.0,1.45
200,201926939,5.4,0.0,2.7
201,201620063,0.0,0.0,0.0
202,201515621,0.0,0.0,0.0
203,201412523,0.0,0.0,0.0
204,202130719,2.0999999999999996,0.0,1.0499999999999998
205,202331927,0.0,4.6000000000000005,2.3000000000000003
206,201516276,0.0,0.0,0.0
207,8374,0.0,0.0,0.0
208,201618972,0.0,0.0,0.0
209,201312063,0.0,0.0,0.0
210,9555,0.0,0.0,0.0
211,201517068,0.0,0.0,0.0
212,201619051,0.0,0.0,0.0
213,201413524,0.0,0.0,0.0
214,1256,0.0,0.0,0.0
215,201415083,0.0,0.0,0.0
216,201414231,0.0,0.0,0.0
217,201413213,0.0,0.0,0.0
218,201515281,0.0,0.0,0.0
219,201310270,0.0,0.0,0.0
220,201311251,0.0,0.0,0.0
221,1731,0.0,0.0,0.0
222,201923630,0.0,0.0,0.0
223,201618184,0.0,0.0,0.0
224,201413700,0.0,0.0,0.0
225,201619465,0.0,0.0,0.0
226,201928877,0.0,0.0,0.0
227,201413516,0.0,0.0,0.0
228,201619690,0.0,0.0,0.0
229,202331958,0.0,1.6,0.8
230,201925764,0.0,0.0,0.0
231,202331959,0.0,1.6,0.8
232,201414022,0.0,0.0,0.0
233,6909,0.0,0.0,0.0
234,201618518,0.0,0.0,0.0
235,202029332,3.0000000000000004,0.0,1.5000000000000002
236,201516277,0.0,0.0,0.0
237,202130356,1.6,0.0,0.8
238,201517178,0.0,0.0,0.0
239,202130563,1.2,0.0,0.6
240,201516250,0.0,0.0,0.0
241,201413389,0.0,0.0,0.0
242,804,0.0,0.0,0.0
243,201414794,0.0,0.0,0.0
244,2517,0.0,0.0,0.0
245,201620310,0.0,0.0,0.0
246,201413186,0.0,0.0,0.0
247,201516468,0.0,0.0,0.0
248,201414168,0.0,0.0,0.0
249,202129896,0.0,0.0,0.0
250,9938,0.0,0.0,0.0
251,202129915,7.6000000000000005,0.0,3.8000000000000003
252,201310395,0.0,0.0,0.0
253,201619410,4.2,0.0,2.1
254,201925782,0.0,0.0,0.0
255,6562,0.0,0.0,0.0
256,201618739,0.0,0.0,0.0
257,201414582,0.0,0.0,0.0
258,201515404,0.0,0.0,0.0
259,201721589,0.0,0.0,0.0
260,202131016,0.0,0.0,0.0
261,201413783,0.0,0.0,0.0
262,202231847,2.8,0.0,1.4
263,201412824,0.0,0.0,0.0
264,201515673,0.0,0.0,0.0
265,201517986,0.0,0.0,0.0
266,7694,0.0,0.0,0.0
267,4668,0.0,0.0,0.0
268,201618296,0.0,0.0,0.0
269,4922,0.0,0.0,0.0
270,201516960,0.0,0.0,0.0
271,202029060,0.0,0.0,0.0
272,201928054,0.0,0.0,0.0
273,201413634,0.0,0.0,0.0
274,7692,0.0,0.0,0.0
275,6167,0.0,0.0,0.0
276,4941,0.0,0.0,0.0
277,202231370,3.1,0.0,1.55
278,201414171,0.0,0.0,0.0
279,202231334,1.9000000000000001,0.0,0.9500000000000001
280,201517182,0.0,0.0,0.0
281,202129847,0.0,0.0,0.0
282,201822714,0.0,0.0,0.0
283,202130836,0.0,0.0,0.0
284,202130705,0.0,0.0,0.0
285,202231194,6.6000000000000005,0.0,3.3000000000000003
286,6835,0.0,0.0,0.0
287,201414964,0.0,0.0,0.0
288,201619064,0.0,0.0,0.0
289,201515214,0.0,0.0,0.0
290,201311204,0.0,0.0,0.0
291,201823346,0.0,0.0,0.0
292,202231074,0.0,0.0,0.0
293,201618550,0.0,0.0,0.0
294,201517547,0.0,0.0,0.0
295,201517128,0.0,0.0,0.0
296,201927579,0.0,0.0,0.0
297,201517899,0.0,0.0,0.0
298,560,0.0,0.0,0.0
299,201619103,0.0,0.0,0.0
300,1376,0.0,0.0,0.0
301,201928894,0.0,0.0,0.0
302,201927949,0.0,0.0,0.0
303,201413556,0.0,0.0,0.0
304,201310344,0.0,0.0,0.0
305,201413991,0.0,0.0,0.0
306,201414799,0.0,0.0,0.0
307,308,8.2,3.8,6.0
308,201721357,0.0,0.0,0.0
309,201516189,0.0,0.0,0.0
310,201515548,0.0,0.0,0.0
311,201822320,0.0,0.0,0.0
312,1821,4.4,0.0,2.2
313,7897,0.0,0.0,0.0
314,9710,0.0,0.0,0.0
315,201619527,0.0,0.0,0.0
316,201516178,0.0,0.0,0.0
317,202029438,0.0,0.0,0.0
318,868,0.0,0.0,0.0
319,201618476,0.0,0.0,0.0
320,201720446,0.0,0.0,0.0
321,1590,0.0,0.0,0.0
322,202231617,0.0,6.8,3.4
323,201517086,0.0,0.0,0.0
324,202130769,1.8,0.0,0.9
325,201516003,0.0,0.0,0.0
326,201515238,0.0,0.0,0.0
327,201822152,0.0,0.0,0.0
328,201414357,0.0,0.0,0.0
329,201924023,2.4,0.0,1.2
330,201924195,0.0,0.0,0.0
331,8384,0.0,0.0,0.0
332,201518052,0.0,0.0,0.0
333,201517556,0.0,0.0,0.0
334,201822942,0.0,0.0,0.0
335,201515827,0.0,0.0,0.0
336,201516148,0.0,0.0,0.0
337,201515919,0.0,0.0,0.0
338,201822567,0.7,0.0,0.35
339,201620110,0.0,0.0,0.0
340,201414521,0.0,0.0,0.0
341,201619999,0.0,0.0,0.0
342,202029397,0.0,0.0,0.0
343,201413862,0.0,0.0,0.0
344,202130398,1.6,0.0,0.8
345,201515687,0.0,0.0,0.0
346,201414893,0.0,0.0,0.0
